,Resolution,Clusters,Modularity,MI,NMI,AMI,Rand,Hom,Comp
0,0.0,3,-8.173334324860587e-05,0.026319772434562974,0.04404200173174247,0.02625619033977767,0.42089431789002607,0.3429122964178202,0.023532180775879725
1,0.05,3,-2.974768827885154e-05,0.03034838852394909,0.04997370197523458,0.031439469521382456,0.422214885734199,0.31574865495723153,0.02713411625339009
2,0.1,3,-5.0697318396978256e-05,0.01662910736925536,0.028338731177081102,0.01211847971291547,0.40996295073548294,0.3015958596601979,0.014867877818006995
3,0.15000000000000002,4,-7.388169504210912e-05,0.03549829582022285,0.059107836676142174,0.03590778651274813,0.42276512233593777,0.4293560528919379,0.031738584235635706
4,0.2,4,-0.00011971935239089013,0.02628756831633973,0.04299798840718308,0.017720025994514672,0.4128241810645244,0.2520958328592903,0.023503387474811437
5,0.25,3,0.0753561624635892,0.3267377269797087,0.3940889581275174,0.3834869237463247,0.6693078023550126,0.6053680119426728,0.2921321328557379
6,0.30000000000000004,3,0.09819586832361152,0.4170659604694482,0.4906592091694112,0.4820216373799501,0.7244781922893511,0.7171451083813554,0.3728934815691892
7,0.35000000000000003,5,0.07049824332280032,0.3236985481693142,0.3730523230038116,0.3527471520922262,0.6311947470745753,0.5246781245624054,0.2894148409279966
8,0.4,5,-0.00026105538756562277,0.028477792125467104,0.04486233917314195,0.011771330417121237,0.4144015259895088,0.18846396822598202,0.025461639307883453
9,0.45,4,0.12991182861585526,0.5440098714143184,0.6054123602605724,0.5963569695159628,0.8150104544954331,0.8015514710392152,0.4863924515233899
10,0.5,6,0.1267587920910402,0.6490612842921594,0.6600414329140436,0.6475193430513263,0.8383404864091559,0.7651586482989133,0.5803176115812557
11,0.55,6,0.1337172534684664,0.6709878880719521,0.694223866983014,0.6837927474461483,0.8530868273357544,0.8237018753413676,0.5999219149706568
12,0.6000000000000001,8,0.13206552297188107,0.5989633425878736,0.6267837978472729,0.6107312335481999,0.8352591614394189,0.7555330632582602,0.5355256657688142
13,0.65,6,0.1273922104690134,0.5813688352358715,0.6057144178736514,0.591428384606469,0.8219801181174572,0.7256634084518747,0.5197946358482763
14,0.7000000000000001,6,0.1312283482911547,0.5953336639823779,0.6484596362216626,0.6371983558800033,0.8169179413814607,0.829515437851658,0.5322804153277161
15,0.75,9,0.13145097206162348,0.7524994456482559,0.7159363368240126,0.7013609134008841,0.8745093723634496,0.7649824555072572,0.6728003835432124
16,0.8,4,0.146506864588879,0.899019224646918,0.8560053972208923,0.8521908577558633,0.9483144418766737,0.9154606617545629,0.8038018933477067
17,0.8500000000000001,4,0.15093304053767476,0.9688784228700296,0.9064379839811976,0.9039880630096798,0.9713510142694692,0.9505216573575226,0.8662621325284021
18,0.9,4,0.1517826112328335,0.9878966496083963,0.9207953212341001,0.9187269180077133,0.9767800154066248,0.9616552387643269,0.8832660922228335
19,0.9500000000000001,4,0.15231835426781454,1.0128170230334865,0.9406302575544215,0.9390840651983468,0.9822823814240124,0.9785414108456004,0.9055470877709392
20,1.0,4,0.15231835426781454,1.0128170230334865,0.9406302575544215,0.9390840651983469,0.9822823814240124,0.9785414108456004,0.9055470877709392
