,Snapshot,Party Order
0,19,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
1,20,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
2,21,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
3,22,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
4,23,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
5,24,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
6,25,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
7,26,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
8,27,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
9,28,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
10,29,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
11,30,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
12,31,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
13,32,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
14,33,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
15,34,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
16,35,"['ΣΥΡΙΖΑ', 'ΜΕΡΑ25', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
17,36,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
18,37,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
19,38,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
20,39,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
21,40,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
22,41,"['ΣΥΡΙΖΑ', 'ΜΕΡΑ25', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
23,42,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
24,43,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
25,44,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
26,45,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
27,46,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
28,47,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
29,48,"['ΜΕΡΑ25', 'ΣΥΡΙΖΑ', 'ΚΙΝΑΛ', 'Νέα Δημοκρατία', 'Ελληνική Λύση']"
